Entity,Code,Year,Happiness: Happy (aggregate)
Albania,ALB,1998,33.43343
Albania,ALB,2004,58.8
Albania,ALB,2010,66.85212
Albania,ALB,2022,73.9271
Algeria,DZA,2004,80.73323
Algeria,DZA,2014,75.5
Andorra,AND,2010,92.52583
Andorra,AND,2022,95.01992
Argentina,ARG,1984,77.01783
Argentina,ARG,1993,76.34731
Argentina,ARG,1998,81.5944
Argentina,ARG,2004,81.37083
Argentina,ARG,2010,87.6046
Argentina,ARG,2014,86.44928
Argentina,ARG,2022,85.70853
Armenia,ARM,1998,54.8
Armenia,ARM,2010,75.88392
Armenia,ARM,2014,82.00644
Armenia,ARM,2022,85.49175
Australia,AUS,1984,94.73932
Australia,AUS,1998,94.26124
Australia,AUS,2010,91.50835
Australia,AUS,2014,92.57456
Australia,AUS,2022,89.58137
Austria,AUT,1993,85.8064
Austria,AUT,2004,89.53736
Austria,AUT,2010,87.91252
Austria,AUT,2022,89.06489
Azerbaijan,AZE,1998,76.62337
Azerbaijan,AZE,2014,80.63264
Azerbaijan,AZE,2022,79.91089
Bangladesh,BGD,1998,84.72131
Bangladesh,BGD,2004,77.4
Bangladesh,BGD,2022,90.66667
Belarus,BLR,1993,43.84236
Belarus,BLR,1998,44.88528
Belarus,BLR,2004,61.9
Belarus,BLR,2010,75.76498
Belarus,BLR,2014,63.72472
Belarus,BLR,2022,88.54685
Belgium,BEL,1984,88.16196
Belgium,BEL,1993,89.69501
Belgium,BEL,2004,92.04511
Belgium,BEL,2010,94.34523
Bolivia,BOL,2022,73.00436
Bosnia and Herzegovina,BIH,1998,74.91666
Bosnia and Herzegovina,BIH,2004,81.83334
Bosnia and Herzegovina,BIH,2010,85.70629
Bosnia and Herzegovina,BIH,2022,87.04503
Brazil,BRA,1993,75.47923
Brazil,BRA,1998,82.93963
Brazil,BRA,2010,90.36794
Brazil,BRA,2014,91.9623
Brazil,BRA,2022,89.20344
Bulgaria,BGR,1993,35.39652
Bulgaria,BGR,1998,55.50373
Bulgaria,BGR,2004,44.50122
Bulgaria,BGR,2010,58.15398
Bulgaria,BGR,2022,60.17142
Burkina Faso,BFA,2010,79.7262
Canada,CAN,1984,95.82815
Canada,CAN,1993,77.50977
Canada,CAN,2004,95.53561
Canada,CAN,2010,95.21655
Canada,CAN,2022,84.87317
Chile,CHL,1993,71.86667
Chile,CHL,1998,79.6184
Chile,CHL,2004,79.83334
Chile,CHL,2010,79.49508
Chile,CHL,2014,84.5
Chile,CHL,2022,82.6173
China,CHN,1993,66.6
China,CHN,1998,83.60001
China,CHN,2004,77.8
China,CHN,2010,76.71336
China,CHN,2014,84.46513
China,CHN,2022,88.94933
Colombia,COL,1998,84.31242
Colombia,COL,2010,86.84298
Colombia,COL,2014,91.53439
Colombia,COL,2022,89.4079
Croatia,HRV,1998,69.39799
Croatia,HRV,2004,78.41376
Croatia,HRV,2010,82.0289
Croatia,HRV,2022,81.63215
Cyprus,CYP,2010,86.12249
Cyprus,CYP,2014,81.70279
Cyprus,CYP,2022,81.93637
Czechia,CZE,1993,75.86548
Czechia,CZE,1998,82.65039
Czechia,CZE,2004,85.64784
Czechia,CZE,2010,83.44666
Czechia,CZE,2022,86.34818
Denmark,DNK,1984,92.56869
Denmark,DNK,1993,93.59223
Denmark,DNK,2004,94.1349
Denmark,DNK,2010,96.34298
Denmark,DNK,2022,90.10067
Dominican Republic,DOM,1998,72.42207
Ecuador,ECU,2014,93.01165
Ecuador,ECU,2022,88.05347
Egypt,EGY,2004,89.4
Egypt,EGY,2010,83.15657
Egypt,EGY,2014,25.9533
Egypt,EGY,2022,71.66666
El Salvador,SLV,1998,92.02552
Estonia,EST,1993,56.74603
Estonia,EST,1998,63.66308
Estonia,EST,2004,64.44458
Estonia,EST,2010,78.81875
Estonia,EST,2014,76.67517
Estonia,EST,2022,84.37757
Ethiopia,ETH,2010,63.46667
Ethiopia,ETH,2022,87.47968
Finland,FIN,1984,93.02094
Finland,FIN,1993,86.56462
Finland,FIN,1998,91.18541
Finland,FIN,2004,89.53609
Finland,FIN,2010,88.73833
Finland,FIN,2022,88.91853
France,FRA,1984,88.92851
France,FRA,1993,91.41716
France,FRA,2004,90.68565
France,FRA,2010,91.03752
France,FRA,2022,90.87823
Georgia,GEO,1998,65.23904
Georgia,GEO,2010,66.9804
Georgia,GEO,2014,69.55074
Georgia,GEO,2022,78.81092
Germany,DEU,1984,79.14165
Germany,DEU,1993,81.29448
Germany,DEU,1998,80.55282
Germany,DEU,2004,83.77943
Germany,DEU,2010,81.0883
Germany,DEU,2014,84.04735
Germany,DEU,2022,86.399
Ghana,GHA,2010,78.42242
Ghana,GHA,2014,80.802
Greece,GRC,2004,72.94221
Greece,GRC,2010,79.45255
Greece,GRC,2022,71.42216
Guatemala,GTM,2010,78.03123
Guatemala,GTM,2022,90.72417
Haiti,HTI,2014,83.5005
Hong Kong,HKG,2010,83.54633
Hong Kong,HKG,2014,89.1
Hong Kong,HKG,2022,80.58542
Hungary,HUN,1984,76.49072
Hungary,HUN,1993,67.46747
Hungary,HUN,1998,77.38461
Hungary,HUN,2004,70.51169
Hungary,HUN,2010,77.69496
Hungary,HUN,2022,81.28936
Iceland,ISL,1984,96.33144
Iceland,ISL,1993,95.58405
Iceland,ISL,2004,97.00414
Iceland,ISL,2010,96.14194
Iceland,ISL,2022,95.11448
India,IND,1993,72
India,IND,1998,75.88235
India,IND,2004,72.87712
India,IND,2010,75.36232
India,IND,2014,87.4203
Indonesia,IDN,2004,94.5
Indonesia,IDN,2010,92.20457
Indonesia,IDN,2022,93.84203
Iran,IRN,2004,57.62243
Iran,IRN,2010,79.45257
Iran,IRN,2022,69.57972
Iraq,IRQ,2004,62.15054
Iraq,IRQ,2010,52.20288
Iraq,IRQ,2014,68
Iraq,IRQ,2022,69.16666
Ireland,IRL,1984,92.61234
Ireland,IRL,1993,91.6
Ireland,IRL,2004,95.83045
Ireland,IRL,2010,94.89127
Israel,ISR,2004,77.39783
Italy,ITA,1984,75.60797
Italy,ITA,1993,83.18219
Italy,ITA,2004,79.14999
Italy,ITA,2010,85.74989
Italy,ITA,2022,82.27991
Japan,JPN,1984,76.98927
Japan,JPN,1993,77.7448
Japan,JPN,1998,89.08919
Japan,JPN,2004,86.49046
Japan,JPN,2010,87.22628
Japan,JPN,2014,86.45108
Japan,JPN,2022,88.32224
Jordan,JOR,2004,82.91726
Jordan,JOR,2010,86.87083
Jordan,JOR,2014,85.75
Jordan,JOR,2022,86.53367
Kazakhstan,KAZ,2014,88.51793
Kazakhstan,KAZ,2022,84.48276
Kenya,KEN,2022,82.99051
Kosovo,OWID_KOS,2010,87.19362
Kuwait,KWT,2014,91.63469
Kyrgyzstan,KGZ,2004,83.89262
Kyrgyzstan,KGZ,2014,95.86667
Kyrgyzstan,KGZ,2022,95.90935
Latvia,LVA,1993,44.40753
Latvia,LVA,1998,68.83334
Latvia,LVA,2004,56.46594
Latvia,LVA,2010,74.493
Latvia,LVA,2022,78.80634
Lebanon,LBN,2014,78.33334
Lebanon,LBN,2022,86.08334
Libya,LBY,2014,87.51869
Libya,LBY,2022,91.63879
Lithuania,LTU,1993,47.7
Lithuania,LTU,1998,54.70763
Lithuania,LTU,2004,60.83028
Lithuania,LTU,2010,65.66721
Lithuania,LTU,2022,73.6502
Luxembourg,LUX,2004,93.53432
Luxembourg,LUX,2010,93.63568
Macao,MAC,2022,91.00684
Malaysia,MYS,2010,94.75437
Malaysia,MYS,2014,96.07693
Malaysia,MYS,2022,85.60548
Maldives,MDV,2022,87.87296
Mali,MLI,2010,82.59453
Malta,MLT,1984,80.94218
Malta,MLT,1993,84.78589
Malta,MLT,2004,86.99619
Malta,MLT,2010,89.37431
Mexico,MEX,1984,79.20589
Mexico,MEX,1993,67.60287
Mexico,MEX,1998,69.60265
Mexico,MEX,2004,91.01376
Mexico,MEX,2010,90.64103
Mexico,MEX,2014,94.25
Mexico,MEX,2022,92.02093
Moldova,MDA,1998,43.39431
Moldova,MDA,2004,49.41209
Moldova,MDA,2010,58.9032
Mongolia,MNG,2022,73.32932
Montenegro,MNE,1998,69.16666
Montenegro,MNE,2004,65.28302
Montenegro,MNE,2010,84.15498
Montenegro,MNE,2022,91.52189
Morocco,MAR,2004,79.97232
Morocco,MAR,2010,80.83334
Morocco,MAR,2014,78.33334
Morocco,MAR,2022,82.83333
Myanmar,MMR,2022,87.58334
Netherlands,NLD,1984,94.80543
Netherlands,NLD,1993,93.10358
Netherlands,NLD,2004,95.0388
Netherlands,NLD,2010,95.50652
Netherlands,NLD,2014,92.42902
Netherlands,NLD,2022,90.52544
New Zealand,NZL,1998,94.33805
New Zealand,NZL,2010,96.43606
New Zealand,NZL,2014,92.39001
New Zealand,NZL,2022,92.93425
Nicaragua,NIC,2022,85.58334
Nigeria,NGA,1993,65.43456
Nigeria,NGA,1998,84.26424
Nigeria,NGA,2004,91.83976
Nigeria,NGA,2014,84.65257
Nigeria,NGA,2022,72.41383
North Macedonia,MKD,1998,62.31156
North Macedonia,MKD,2004,74.68623
North Macedonia,MKD,2010,80.4359
North Macedonia,MKD,2022,86.81465
Northern Cyprus,OWID_CYN,2010,75.66135
Northern Ireland,,1984,94.64709
Northern Ireland,,1993,93.09211
Northern Ireland,,2004,94.85559
Northern Ireland,,2010,93.69785
Northern Ireland,,2022,93.35258
Norway,NOR,1984,92.19791
Norway,NOR,1993,93.46246
Norway,NOR,1998,94.32121
Norway,NOR,2010,95.84815
Norway,NOR,2022,94.06306
Pakistan,PAK,1998,79.10603
Pakistan,PAK,2004,75.6
Pakistan,PAK,2014,84.71133
Pakistan,PAK,2022,89.22306
Palestine,PSE,2014,74.4
Peru,PER,1998,62.84063
Peru,PER,2004,66.08927
Peru,PER,2010,67.41455
Peru,PER,2014,75.98549
Peru,PER,2022,80.77301
Philippines,PHL,1998,92.5
Philippines,PHL,2004,87.56617
Philippines,PHL,2014,89.32845
Philippines,PHL,2022,91.44243
Poland,POL,1993,68.02084
Poland,POL,1998,85.25585
Poland,POL,2004,77.28551
Poland,POL,2010,85.76341
Poland,POL,2014,92.61225
Poland,POL,2022,90.96447
Portugal,PRT,1993,72.75937
Portugal,PRT,2004,83.44766
Portugal,PRT,2010,89.85663
Portugal,PRT,2022,87.78766
Puerto Rico,PRI,1998,90.72165
Puerto Rico,PRI,2004,94.02778
Puerto Rico,PRI,2022,90.50577
Qatar,QAT,2014,97.96528
Romania,ROU,1993,61.55938
Romania,ROU,1998,56.09362
Romania,ROU,2004,46.5096
Romania,ROU,2010,63.50334
Romania,ROU,2014,69.03992
Romania,ROU,2022,77.93004
Russia,RUS,1993,47.22081
Russia,RUS,1998,50.19608
Russia,RUS,2004,48.13385
Russia,RUS,2010,67.51584
Russia,RUS,2014,73.44671
Russia,RUS,2022,79.44434
Rwanda,RWA,2010,85.33511
Rwanda,RWA,2014,90.43877
Saudi Arabia,SAU,2004,91.34487
Serbia,SRB,1998,69.92188
Serbia,SRB,2004,73.5
Serbia,SRB,2010,68.5629
Serbia,SRB,2022,79.77212
Singapore,SGP,2004,94.80276
Singapore,SGP,2014,93.00925
Singapore,SGP,2022,88.98358
Slovakia,SVK,1993,55.30587
Slovakia,SVK,1998,71.41553
Slovakia,SVK,2004,68.91756
Slovakia,SVK,2010,81.25195
Slovakia,SVK,2022,78.91463
Slovenia,SVN,1993,54.87922
Slovenia,SVN,1998,73.78352
Slovenia,SVN,2004,75.94434
Slovenia,SVN,2010,81.22367
Slovenia,SVN,2014,83.25538
Slovenia,SVN,2022,83.50598
South Africa,ZAF,1984,80.38847
South Africa,ZAF,1993,66.35867
South Africa,ZAF,1998,72.42017
South Africa,ZAF,2004,77.3448
South Africa,ZAF,2010,77.83786
South Africa,ZAF,2014,76.35912
South Korea,KOR,1993,75.21982
South Korea,KOR,1998,88.79103
South Korea,KOR,2004,87.66666
South Korea,KOR,2010,87.37817
South Korea,KOR,2014,90.00872
South Korea,KOR,2022,89.0763
Spain,ESP,1984,77.75384
Spain,ESP,1993,83.34064
Spain,ESP,1998,86.53486
Spain,ESP,2004,86.51347
Spain,ESP,2010,90.89694
Spain,ESP,2014,86.3922
Spain,ESP,2022,88.79475
Sweden,SWE,1984,93.81551
Sweden,SWE,1993,95.41547
Sweden,SWE,1998,93.95441
Sweden,SWE,2004,93.39589
Sweden,SWE,2010,91.55124
Sweden,SWE,2014,94.51546
Sweden,SWE,2022,93.77649
Switzerland,CHE,1993,93.38536
Switzerland,CHE,1998,94.3251
Switzerland,CHE,2010,92.94263
Switzerland,CHE,2022,93.31825
Taiwan,TWN,1998,90.64103
Taiwan,TWN,2010,85.15893
Taiwan,TWN,2014,89.88847
Taiwan,TWN,2022,90.72237
Tajikistan,TJK,2022,94.41666
Tanzania,TZA,2004,93.08283
Thailand,THA,2010,92.43807
Thailand,THA,2014,93.06419
Thailand,THA,2022,83.75718
Trinidad and Tobago,TTO,2010,86.76797
Trinidad and Tobago,TTO,2014,87.98799
Tunisia,TUN,2014,79.25311
Tunisia,TUN,2022,76.57285
Turkey,TUR,1993,81.06796
Turkey,TUR,1998,88.32067
Turkey,TUR,2004,72.18719
Turkey,TUR,2010,78.956
Turkey,TUR,2014,83.80663
Turkey,TUR,2022,85.01035
Uganda,UGA,2004,78.75198
Ukraine,UKR,1998,45.89114
Ukraine,UKR,2004,46.03295
Ukraine,UKR,2010,70.93273
Ukraine,UKR,2014,68.10394
Ukraine,UKR,2022,76.26277
United Kingdom,GBR,1984,94.96825
United Kingdom,GBR,1993,90.88806
United Kingdom,GBR,1998,90.58507
United Kingdom,GBR,2010,92.49185
United Kingdom,GBR,2022,91.45046
United States,USA,1984,90.32454
United States,USA,1993,87.88667
United States,USA,1998,93.82487
United States,USA,2004,93.052
United States,USA,2010,93.13236
United States,USA,2014,89.54961
United States,USA,2022,88.1805
Uruguay,URY,1998,79.37735
Uruguay,URY,2010,85.9
Uruguay,URY,2014,86
Uruguay,URY,2022,90.83165
Uzbekistan,UZB,2014,96.06667
Venezuela,VEN,1998,92.66666
Venezuela,VEN,2004,86.33334
Venezuela,VEN,2022,78.9916
Vietnam,VNM,2004,91.39999
Vietnam,VNM,2010,91.50501
Vietnam,VNM,2022,97.33334
Yemen,YEM,2014,72.1
Zambia,ZMB,2010,51.98119
Zimbabwe,ZWE,2004,55.25476
Zimbabwe,ZWE,2014,78.82929
Zimbabwe,ZWE,2022,51.93416